city,latitude,longitude,openweathermap_pm25,reference_pm25,pm10,no2,o3,co,openweather_aqi
"Bangkok, Thailand",13.7563,100.5018,1.03,25.0,2.15,0.51,9.22,79.46,1
"Delhi, India",28.6139,77.209,24.73,110.0,40.74,8.22,34.38,364.5,2
"Los Angeles, USA",34.0522,-118.2437,7.15,12.0,19.07,0.47,87.96,104.15,2
"Beijing, China",39.9042,116.4074,12.6,40.0,16.25,33.24,37.3,284.35,2
"London, UK",51.5074,-0.1278,1.58,15.0,5.36,3.21,79.51,101.31,2
"Mexico City, Mexico",19.4326,-99.1332,3.25,22.0,4.4,7.3,34.65,211.05,1
"Cairo, Egypt",30.0444,31.2357,6.37,32.0,26.39,4.44,80.24,106.61,2
"Zurich, Switzerland",47.3769,8.5417,0.5,8.0,0.5,1.16,64.49,89.88,2
"Sydney, Australia",-33.8688,151.2093,3.04,7.0,11.77,0.55,54.46,84.57,1
"Reykjavik, Iceland",64.1466,-21.9426,0.5,3.0,1.14,0.05,74.46,97.75,2
"Santiago, Chile",-33.4489,-70.6693,2.05,21.0,3.45,2.84,38.3,117.92,1
"Johannesburg, South Africa",-26.2041,28.0473,6.29,18.0,8.13,4.39,50.06,190.24,1
"Tokyo, Japan",35.6762,139.6503,7.78,14.0,11.4,3.84,95.14,113.33,2
"São Paulo, Brazil",-23.5505,-46.6333,25.47,17.0,37.81,1.9,61.03,160.74,3
"New York, USA",40.7128,-74.006,8.49,9.0,15.35,5.66,81.99,145.23,2
"Amsterdam, Netherlands",52.3676,4.9041,1.2,10.0,2.87,6.51,62.04,113.32,2
"Mumbai, India",19.076,72.8777,1.25,45.0,3.39,0.06,43.74,86.71,1
Singapore,1.3521,103.8198,9.68,19.0,10.28,0.76,20.6,184.5,1
"Oslo, Norway",59.9139,10.7522,0.5,6.0,0.59,1.88,43.04,106.32,1
"Wellington, New Zealand",-41.2924,174.7787,0.87,5.0,1.86,0.21,49.24,67.88,1
